----------------------------------------------
PZ-Out TotHead [m]: 
    2016/06/19 10:00:00 428.761080 
    2016/06/19 10:15:00 428.758750 
    2016/06/19 10:30:00 428.759910 
    2016/06/19 10:45:00 428.757830 
    2016/06/19 11:00:00 428.757000 
    2016/06/19 11:15:00 428.755250 
    2016/06/19 11:30:00 428.757000 
    2016/06/19 11:45:00 428.757000 
    2016/06/19 12:00:00 428.759000 
    2016/06/19 12:15:00 428.758410 
    2016/06/19 12:30:00 428.758410 
    2016/06/19 12:45:00 428.752830 
    2016/06/19 13:00:00 428.758660 
    2016/06/19 13:15:00 428.760410 
    2016/06/19 13:30:00 428.758080 
    2016/06/19 13:45:00 428.762160 
    2016/06/19 14:00:00 428.759830 
    2016/06/19 14:15:00 428.761580 
    2016/06/19 14:30:00 428.763000 
    2016/06/19 14:45:00 428.761250 
    2016/06/19 15:00:00 428.768000 
    2016/06/19 15:15:00 428.770000 
    2016/06/19 15:30:00 428.771750 
    2016/06/19 15:45:00 428.772080 
    2016/06/19 16:00:00 428.771830 
    2016/06/19 16:15:00 428.773250 
    2016/06/19 16:30:00 428.774750 
    2016/06/19 16:45:00 428.774750 
    2016/06/19 17:00:00 428.769160 
    2016/06/19 17:15:00 428.767410 
    2016/06/19 17:30:00 428.765080 
    2016/06/19 17:45:00 428.766330 
    2016/06/19 18:00:00 428.761000 
    2016/06/19 18:15:00 428.766250 
    2016/06/19 18:30:00 428.767080 
    2016/06/19 18:45:00 428.766830 
    2016/06/19 19:00:00 428.768330 
    2016/06/19 19:15:00 428.770910 
    2016/06/19 19:30:00 428.780830 
    2016/06/19 19:45:00 428.791080 
    2016/06/19 20:00:00 428.792830 
    2016/06/19 20:15:00 428.793660 
    2016/06/19 20:30:00 428.794250 
    2016/06/19 20:45:00 428.795500 
    2016/06/19 21:00:00 428.792250 
    2016/06/19 21:15:00 428.787000 
    2016/06/19 21:30:00 428.793160 
    2016/06/19 21:45:00 428.795160 
    2016/06/19 22:00:00 428.791410 
    2016/06/19 22:15:00 428.793160 
    2016/06/19 22:30:00 428.793750 
    2016/06/19 22:45:00 428.794000 
    2016/06/19 23:00:00 428.793500 
    2016/06/19 23:15:00 428.791410 
    2016/06/19 23:30:00 428.794000 
    2016/06/19 23:45:00 428.793500 
    2016/06/20 00:00:00 428.792000 
    2016/06/20 00:15:00 428.793500 
    2016/06/20 00:30:00 428.792330 
    2016/06/20 00:45:00 428.789080 
    2016/06/20 01:00:00 428.787080 
    2016/06/20 01:15:00 428.787330 
    2016/06/20 01:30:00 428.787080 
    2016/06/20 01:45:00 428.790580 
    2016/06/20 02:00:00 428.788580 
    2016/06/20 02:15:00 428.786830 
    2016/06/20 02:30:00 428.785330 
    2016/06/20 02:45:00 428.785330 
    2016/06/20 03:00:00 428.783580 
    2016/06/20 03:15:00 428.780080 
    2016/06/20 03:30:00 428.781830 
    2016/06/20 03:45:00 428.782410 
    2016/06/20 04:00:00 428.782160 
    2016/06/20 04:15:00 428.780660 
    2016/06/20 04:30:00 428.780410 
    2016/06/20 04:45:00 428.780410 
    2016/06/20 05:00:00 428.778910 
    2016/06/20 05:15:00 428.781250 
    2016/06/20 05:30:00 428.781000 
    2016/06/20 05:45:00 428.778000 
    2016/06/20 06:00:00 428.779500 
    2016/06/20 06:15:00 428.779500 
    2016/06/20 06:30:00 428.776000 
    2016/06/20 06:45:00 428.770750 
    2016/06/20 07:00:00 428.773080 
    2016/06/20 07:15:00 428.771910 
    2016/06/20 07:30:00 428.771330 
    2016/06/20 07:45:00 428.770160 
    2016/06/20 08:00:00 428.767580 
    2016/06/20 08:15:00 428.766660 
    2016/06/20 08:30:00 428.768160 
    2016/06/20 08:45:00 428.764910 
    2016/06/20 09:00:00 428.765250 
    2016/06/20 09:15:00 428.763750 
    2016/06/20 09:30:00 428.763500 
    2016/06/20 09:45:00 428.756500 
    2016/06/20 10:00:00 428.760000 
    2016/06/20 10:15:00 428.758250 
    2016/06/20 10:30:00 428.756750 
    2016/06/20 10:45:00 428.754160 
    2016/06/20 11:00:00 428.755910 
    2016/06/20 11:15:00 428.750910 
    2016/06/20 11:30:00 428.753250 
    2016/06/20 11:45:00 428.755000 
    2016/06/20 12:00:00 428.759080 
    2016/06/20 12:15:00 428.762330 
    2016/06/20 12:30:00 428.768410 
    2016/06/20 12:45:00 428.766660 
    2016/06/20 13:00:00 428.770750 
    2016/06/20 13:15:00 428.772500 
    2016/06/20 13:30:00 428.771000 
    2016/06/20 13:45:00 428.780330 
    2016/06/20 14:00:00 428.780330 
    2016/06/20 14:15:00 428.782080 
    2016/06/20 14:30:00 428.786750 
    2016/06/20 14:45:00 428.790250 
    2016/06/20 15:00:00 428.784410 
    2016/06/20 15:15:00 428.784410 
    2016/06/20 15:30:00 428.777410 
    2016/06/20 15:45:00 428.775080 
    2016/06/20 16:00:00 428.778580 
    2016/06/20 16:15:00 428.778000 
    2016/06/20 16:30:00 428.778000 
    2016/06/20 16:45:00 428.774500 
    2016/06/20 17:00:00 428.774500 
    2016/06/20 17:15:00 428.771910 
    2016/06/20 17:30:00 428.769830 
    2016/06/20 17:45:00 428.767830 
    2016/06/20 18:00:00 428.764580 
    2016/06/20 18:15:00 428.765500 
    2016/06/20 18:30:00 428.767250 
    2016/06/20 18:45:00 428.760500 
    2016/06/20 19:00:00 428.762000 
    2016/06/20 19:15:00 428.759660 
    2016/06/20 19:30:00 428.754410 
    2016/06/20 19:45:00 428.753250 
    2016/06/20 20:00:00 428.751160 
    2016/06/20 20:15:00 428.752660 
    2016/06/20 20:30:00 428.747410 
    2016/06/20 20:45:00 428.746830 
    2016/06/20 21:00:00 428.745080 
    2016/06/20 21:15:00 428.746830 
    2016/06/20 21:30:00 428.745080 
    2016/06/20 21:45:00 428.745410 
    2016/06/20 22:00:00 428.747160 
    2016/06/20 22:15:00 428.743080 
    2016/06/20 22:30:00 428.747160 
    2016/06/20 22:45:00 428.741330 
    2016/06/20 23:00:00 428.739580 
    2016/06/20 23:15:00 428.739830 
    2016/06/20 23:30:00 428.745410 
    2016/06/20 23:45:00 428.741330 
    2016/06/21 00:00:00 428.746830 
    2016/06/21 00:15:00 428.746580 
    2016/06/21 00:30:00 428.746830 
    2016/06/21 00:45:00 428.749160 
    2016/06/21 01:00:00 428.752660 
    2016/06/21 01:15:00 428.756750 
    2016/06/21 01:30:00 428.756750 
    2016/06/21 01:45:00 428.758830 
    2016/06/21 02:00:00 428.756500 
    2016/06/21 02:15:00 428.756500 
    2016/06/21 02:30:00 428.758250 
    2016/06/21 02:45:00 428.758250 
    2016/06/21 03:00:00 428.754160 
    2016/06/21 03:15:00 428.755910 
    2016/06/21 03:30:00 428.754160 
    2016/06/21 03:45:00 428.754160 
    2016/06/21 04:00:00 428.746830 
    2016/06/21 04:15:00 428.744830 
    2016/06/21 04:30:00 428.744830 
    2016/06/21 04:45:00 428.748330 
    2016/06/21 05:00:00 428.746000 
    2016/06/21 05:15:00 428.743660 
    2016/06/21 05:30:00 428.743410 
    2016/06/21 05:45:00 428.740160 
    2016/06/21 06:00:00 428.736660 
    2016/06/21 06:15:00 428.736660 
    2016/06/21 06:30:00 428.734910 
    2016/06/21 06:45:00 428.731160 
    2016/06/21 07:00:00 428.729080 
    2016/06/21 07:15:00 428.727330 
    2016/06/21 07:30:00 428.724080 
    2016/06/21 07:45:00 428.723250 
    2016/06/21 08:00:00 428.721500 
    2016/06/21 08:15:00 428.718000 
    2016/06/21 08:30:00 428.718250 
    2016/06/21 08:45:00 428.714160 
    2016/06/21 09:00:00 428.712410 
    2016/06/21 09:15:00 428.712410 
    2016/06/21 09:30:00 428.711830 
    2016/06/21 09:45:00 428.711830 
    2016/06/21 10:00:00 428.706580 
    2016/06/21 10:15:00 428.708330 
    2016/06/21 10:30:00 428.710080 
    2016/06/21 10:45:00 428.704830 
    2016/06/21 11:00:00 428.704830 
    2016/06/21 11:15:00 428.706000 
    2016/06/21 11:30:00 428.704250 
    2016/06/21 11:45:00 428.702500 
    2016/06/21 12:00:00 428.702500 
    2016/06/21 12:15:00 428.701000 
    2016/06/21 12:30:00 428.701000 
    2016/06/21 12:45:00 428.700160 
    2016/06/21 13:00:00 428.693410 
    2016/06/21 13:15:00 428.696660 
    2016/06/21 13:30:00 428.692830 
    2016/06/21 13:45:00 428.694580 
    2016/06/21 14:00:00 428.694830 
    2016/06/21 14:15:00 428.694830 
    2016/06/21 14:30:00 428.693080 
    2016/06/21 14:45:00 428.694000 
    2016/06/21 15:00:00 428.695750 
    2016/06/21 15:15:00 428.692750 
    2016/06/21 15:30:00 428.689000 
    2016/06/21 15:45:00 428.692500 
    2016/06/21 16:00:00 428.696000 
    2016/06/21 16:15:00 428.699500 
    2016/06/21 16:30:00 428.699500 
    2016/06/21 16:45:00 428.698910 
    2016/06/21 17:00:00 428.698910 
